SFH10,SFH6,SFH7,SFH8,SFH9,Day,Hour
569.4023051,971.8714983,0.0,95.91958341,547.337084,320,5
429.2869177,936.4609722,0.0,131.3917782,272.5910003,320,6
985.2281928,148.7121114,0.0,452.1438059,234.3306383,320,7
431.4185002,67.54780563,0.0,1095.958782,575.2687794,320,8
425.3456679,167.2510277,0.0,626.3542241,1358.64742,320,9
665.3356941,71.17527783,0.0,1144.820806,304.9383891,320,10
487.9953893,66.29308339,0.0,229.3226945,1065.107888,320,11
510.0002506,174.5128051,0.0,1500.776306,1466.411474,320,12
436.4187497,66.77930565,0.0,645.615082,664.7092781,320,13
460.3327785,97.4322498,0.0,295.5174722,694.8732509,320,14
561.6988599,143.1441387,0.0,429.9076933,1542.509424,320,15
475.8671115,369.0261391,0.0,941.1674472,3752.307254,320,16
1502.74064,1806.181665,0.0,911.3457525,1806.246005,320,17
630.1043048,1014.101361,0.0,1230.996584,1015.581669,320,18
603.2618883,1325.157917,0.0,1077.51475,571.4070262,320,19
608.3242237,1024.539861,0.0,314.8443058,504.2564439,320,20
542.6241672,674.1983329,0.0,250.8745275,387.0353614,320,21
562.0502511,206.7316386,0.0,214.7089157,278.7034166,320,22
627.6715825,199.299806,0.0,108.8224444,286.8305556,320,23
490.7818613,73.78130546,0.0,131.5406111,209.6168058,321,0
489.4828059,88.04027794,0.0,104.3507223,246.9884442,321,1
368.926611,152.3731111,0.0,90.74358347,259.3311938,321,2
364.8005552,67.15750003,0.0,127.4365831,183.4554724,321,3
332.0673887,162.3311945,0.0,110.7847777,283.875528,321,4
339.0375278,720.3576396,0.0,329.2672775,227.1375,321,5
323.8060556,814.9800006,0.0,178.8784443,248.1188335,321,6
389.9682231,185.3920001,0.0,345.1746666,333.9364987,321,7
576.8217504,97.77294434,0.0,1052.540807,1155.500419,321,8
527.5176383,67.7319999,0.0,1539.727581,1786.721119,321,9
602.8748898,167.2531112,0.0,877.8126659,1598.468804,321,10
550.2988325,74.35952783,0.0,509.403721,3488.614529,321,11
566.8903342,67.91563896,0.0,580.1970545,1493.419891,321,12
412.7517219,175.4637225,0.0,936.9166116,541.050779,321,13
394.0884727,66.62366667,0.0,879.4331648,721.8965546,321,14
361.3325842,84.29844454,0.0,844.6138047,1295.246163,321,15
393.4955557,245.2745278,0.0,493.4034164,2388.607392,321,16
550.3545575,190.8317223,0.0,307.9207492,3260.226248,321,17
712.2721391,230.6202498,0.0,301.1913613,2515.63861,321,18
567.0879453,347.0508614,0.0,282.0482226,2701.085057,321,19
598.0489733,188.5371944,0.0,295.8323338,3167.313449,321,20
651.6557232,336.3003332,0.0,213.6321106,2283.241891,321,21
527.3015005,396.2088059,0.0,175.6375,2292.069333,321,22
650.5774723,235.302389,0.0,161.580889,2265.154643,321,23
