LG 01,LG 07,LG 03,small_ind_load_1,small_ind_load_2,load_bus3,load_bus4,load_bus5,load_bus9,load_bus10,load_bus11,load_bus6,SFH9,eload_med_ind,eload_small_ind,eload_comm
21.33671652,24.2284031,13.66298514,0.554970344,0.743845879,0.216961814,0.442432477,1.293001335,0.962544511,0.05144558,0.239887299,0.011525499,0.117463106,0.897187798,0.814018043,0.932555123
21.47189065,25.1652638,14.19328365,0.522135231,0.75026757,0.216236335,0.434514424,1.294401658,0.962531427,0.051300145,0.236896705,0.011794263,0.412487462,0.736320305,0.820032385,0.932555123
21.65385582,26.58043296,14.09970156,0.676868327,0.809133072,0.22076639,0.435380901,1.307692861,1.028514535,0.057409141,0.241164946,0.013786473,0.263246094,0.313489037,0.828128614,0.656290532
20.73883095,30.48072651,13.49141798,0.716109134,0.781662504,0.229835807,0.367535207,1.321129492,0.949858256,0.072837354,0.251447796,0.0150488,0.051446821,0.3064347,0.787416146,0.349546044
20.10975134,29.28391556,7.003059735,0.876251483,0.827327863,0.132861928,0.367544122,1.055287778,0.750536921,0.088734988,0.249123829,0.014606887,0.074171978,0.287893232,0.759426324,0.294422827
22.42330856,29.76534343,5.630522415,1,0.881912237,0.133468697,0.367548284,1.047848089,0.726098635,0.090448536,0.228986876,0.015320775,0.076118872,0.295900858,0.862364099,0.279507134
24.32094539,28.99797029,4.164403005,0.911743772,0.874420264,0.109984265,0.367613666,0.911573779,0.576619907,0.097378818,0.202664202,0.012071088,0.079572103,0.292230696,0.946796206,0.267833982
25.51671654,28.99797029,3.89925375,0.861874259,0.926864074,0.087411168,0.11755609,0.869998467,0.552182489,0.095068258,0.144287124,0.008901917,0.088721846,0.286320305,1,0.210116732
23.75945285,27.62023396,3.80567166,0.798102017,1,0.062840682,0.117594249,0.787482055,0.349356868,0.070592464,0.095584005,0.00672669,0.06510993,0.275309819,0.921813555,0.141374838
16.631617,29.58337825,3.7432836,0.847164887,0.368890474,0.076339521,0.118614922,0.793758193,0.299992109,0.045398421,0.129012898,0.005641321,0.046056482,0.271591992,0.604672681,0.15304799
12.77915429,28.8035275,3.68089554,,,,,,,,,,0.009363295,0.234175405,0.433263937,0.139429313
8.71353238,11.98474633,3.64970151,,,,,,,,,,0.017534434,0.238703527,0.252371039,0.139429313
4.788283605,7.305641826,3.790074645,,,,,,,,,,0.031867728,0.217445186,0.077723803,0.136835279
4.89746271,5.537980126,3.509328375,,,,,,,,,,0.032429675,0.198760724,0.082581541,0.145265888
5.65651744,7.916005013,3.634104495,,,,,,,,,,0.238122529,0.183412774,0.116354384,0.151102464
4.164403005,8.955806013,5.069029875,,,,,,,,,,0.111666733,0.182983794,0.049965302,0.140077821
3.14019902,8.149960238,5.67731346,,,,,,,,,,0.049980171,0.309294566,0.004395096,0.174448768
3.041417925,12.10120404,7.61134332,,,,,,,,,,0.100832151,0.603574833,0,0.503891051
15.24348266,19.21136328,9.85731348,,,,,,,,,,0.197338892,0.706577693,0.542910016,0.819714656
14.77557221,23.48806479,9.60776124,,,,,,,,,,0.038950982,0.743803622,0.52209114,0.971465629
18.52925382,25.41169664,8.375597055,,,,,,,,,,0.009310664,1,0.689104788,0.798962387
21.64345781,23.7085026,9.38940303,,,,,,,,,,0.036227841,0.860247855,0.827665973,0.691958495
19.71982597,23.30609961,9.155447805,,,,,,,,,,0.247134486,0.534080076,0.742077261,0.536964981
20.5880598,25.35866679,9.73253736,,,,,,,,,,0.166659741,0.781553861,0.780707842,0.740596628
21.46669164,22.22678618,8.51597019,,,,,,,,,,0.102266877,0.715395615,0.819801064,0.727626459
