wt_power_feb,wt_power_feb_norm,wt_power_jun,wt_power_jun_norm,wt_power_oct,wt_power_oct_norm
0.117,0.09891808346213296,0.051,0.05909090909090909,0.127,0.14883148831488313
0.133,0.1236476043276662,0.067,0.08333333333333334,0.083,0.0947109471094711
0.194,0.21792890262751166,0.081,0.10454545454545455,0.055,0.06027060270602706
0.264,0.32612055641421955,0.093,0.12272727272727271,0.063,0.07011070110701108
0.336,0.43740340030911906,0.107,0.14393939393939392,0.096,0.11070110701107011
0.395,0.5285935085007729,0.122,0.16666666666666666,0.146,0.17220172201722014
0.424,0.5734157650695518,0.169,0.2378787878787879,0.181,0.2152521525215252
0.428,0.5795981452859351,0.227,0.32575757575757575,0.218,0.2607626076260762
0.426,0.5765069551777435,0.283,0.41060606060606053,0.239,0.28659286592865924
0.425,0.5749613601236476,0.337,0.49242424242424243,0.249,0.2988929889298893
0.41,0.5517774343122103,0.369,0.5409090909090909,0.243,0.2915129151291513
0.379,0.5038639876352397,0.371,0.543939393939394,0.261,0.31365313653136534
0.343,0.44822256568778995,0.352,0.5151515151515151,0.259,0.3111931119311193
0.31,0.39721792890262764,0.323,0.4712121212121212,0.251,0.30135301353013527
0.274,0.3415765069551778,0.276,0.4,0.27,0.3247232472324723
0.245,0.2967542503863988,0.185,0.2621212121212121,0.286,0.3444034440344403
0.223,0.26275115919629066,0.104,0.13939393939393938,0.295,0.3554735547355473
0.212,0.2457496136012365,0.057,0.06818181818181818,0.308,0.37146371463714634
0.188,0.20865533230293667,0.042,0.04545454545454546,0.306,0.36900369003690037
0.107,0.08346213292117466,0.044,0.048484848484848485,0.299,0.3603936039360393
0.061,0.012364760432766617,0.045,0.049999999999999996,0.332,0.4009840098400984
0.055,0.0030911901081916576,0.058,0.0696969696969697,0.481,0.5842558425584256
0.11,0.08809891808346215,0.072,0.09090909090909091,0.66,0.8044280442804428
0.147,0.14528593508500776,0.082,0.10606060606060608,0.725,0.8843788437884379
0.144,0.14064914992272026,0.076,0.09696969696969696,0.781,0.9532595325953259
0.134,0.12519319938176202,0.056,0.06666666666666668,0.819,0.9999999999999999
0.159,0.1638330757341577,0.031,0.028787878787878786,0.792,0.966789667896679
0.186,0.20556414219474503,0.015,0.004545454545454547,0.693,0.8450184501845017
0.21,0.24265842349304487,0.015,0.004545454545454547,0.649,0.7908979089790898
0.234,0.27975270479134473,0.051,0.05909090909090909,0.635,0.7736777367773677
0.253,0.3091190108191655,0.105,0.1409090909090909,0.644,0.7847478474784748
0.253,0.3091190108191655,0.144,0.19999999999999998,0.632,0.7699876998769988
0.259,0.31839258114374047,0.141,0.19545454545454544,0.607,0.7392373923739237
0.28,0.3508500772797528,0.126,0.17272727272727273,0.527,0.6408364083640836
0.309,0.39567233384853173,0.111,0.15,0.451,0.5473554735547356
0.323,0.4173106646058734,0.094,0.12424242424242424,0.426,0.5166051660516605
0.329,0.4265842349304483,0.088,0.11515151515151514,0.414,0.5018450184501845
0.314,0.4034003091190109,0.094,0.12424242424242424,0.413,0.5006150061500615
0.281,0.3523956723338486,0.112,0.15151515151515152,0.398,0.4821648216482165
0.311,0.39876352395672343,0.112,0.15151515151515152,0.388,0.4698646986469865
0.319,0.41112828438949,0.078,0.1,0.367,0.4440344403444034
0.332,0.4312210200927358,0.054,0.06363636363636363,0.362,0.4378843788437884
0.334,0.4343122102009275,0.06,0.07272727272727272,0.388,0.4698646986469865
0.452,0.6166924265842351,0.09,0.11818181818181817,0.382,0.46248462484624847
0.513,0.7109737248840805,0.113,0.15303030303030302,0.319,0.3849938499384994
0.586,0.8238021638330758,0.125,0.1712121212121212,0.394,0.4772447724477245
0.65,0.9227202472952089,0.14,0.19393939393939394,0.505,0.6137761377613776
0.69,0.9845440494590417,0.147,0.20454545454545453,0.538,0.6543665436654367
0.7,1.0000000000000002,0.134,0.18484848484848485,0.461,0.5596555965559655
0.644,0.9134466769706339,0.119,0.1621212121212121,0.341,0.41205412054120544
0.524,0.7279752704791346,0.133,0.18333333333333335,0.271,0.32595325953259535
