SFH10,SFH6,SFH8,SFH9
0.205252032,0.026648352,0.049027059,0.379369748
0.467039504,1,0.038704291,0.634679921
0.26288577,0.331085017,0.034787918,0.574106607
0.640211021,0.104005976,0.038188811,0.603644545
0.210611159,0.091576116,0.040733372,0.539323211
0.263558971,0.139218661,0.012589138,0.078689959
0.274534321,0.24149396,0.005538136,0.06030377
0.204448012,0.148580823,0.005317411,0.045044999
0.188615549,0.007957627,0.000376676,0.025225515
0.065175624,0.05074427,0.003217503,0.028454667
0.043460617,0.002586261,0.005042878,0.041396368
0.024801462,0.023697299,0,0.022403863
0.041249174,0.049730205,0.039722836,0.263069807
0.2132558,0.411148643,0.002146162,0.117340472
0.095147538,0.395094342,0.012910979,0.044063499
0.563770284,0.03794749,0.110250226,0.033859155
0.096944325,0.001149498,0.30563002,0.124790078
0.091825318,0.0463526,0.163118203,0.333723411
0.294121478,0.002794109,0.320458274,0.052690806
0.144635004,0.000580637,0.042630266,0.255434076
0.163183687,0.04964492,0.428480788,0.362464944
0.101159214,0.000801079,0.168963334,0.148644572
0.121317202,0.014698404,0.062718525,0.156689544
0.206762291,0.035423102,0.103502189,0.382760874
0.134411646,0.137832702,0.25865519,0.972131585
1,0.789405298,0.249605141,0.453101524
0.264423682,0.430294672,0.346610206,0.242225038
0.241797251,0.571320417,0.300032773,0.123760117
0.246064474,0.435027243,0.068583677,0.105850521
0.190683551,0.276190614,0.049170643,0.074586723
0.207058491,0.064252183,0.038195394,0.045693729
0.262373054,0.060882764,0.006061819,0.047861302
0.146983821,0.003975621,0.012956145,0.027267779
0.145888801,0.010440305,0.004704776,0.037235093
0.044267681,0.039607302,0.000575391,0.040527003
0.040789681,0.000972543,0.011710688,0.020290343
0.013197726,0.044122063,0.006657332,0.047073173
0.019073105,0.297118161,0.072960645,0.031940688
0.006233954,0.340017719,0.02732185,0.037536577
0.062004407,0.054577291,0.077788091,0.060424833
0.219509915,0.014852867,0.292453882,0.279542485
0.177949719,0.001233008,0.440301408,0.447894082
0.241471036,0.046353545,0.23942879,0.397685687
0.197152801,0.004237773,0.127627005,0.901802632
0.21113837,0.001316265,0.149110796,0.369668304
0.081209431,0.050076043,0.25736518,0.115663864
0.065477512,0.000730516,0.239920566,0.163896875
0.037866404,0.008743845,0.229353866,0.31681379
0.064977721,0.081726624,0.122771361,0.608421952
0.197199773,0.057043534,0.066482572,0.840889655
0.333685883,0.075082719,0.064440391,0.642302192
0.211304943,0.127869626,0.058630985,0.691762239
0.237403099,0.056003249,0.062814077,0.81610907
0.282590142,0.122995589,0.037868614,0.580320133
0.177767529,0.150156685,0.026338315,0.582674482
