LG 01,LG 02,LG 03,LG 04,LG 05,LG 06,LG 07,LG 08,LG 09,LG 10,LG 11,LG 12,LG 13,LG 14,LG 15,LG 16,LG 17,LG 18,LG 19,LG 20,LG 21,LG 22,LG 23,LG 24,LG 25,LG 26,LG 27,LG 28,LG 29,eload_med_ind,eload_small_ind,eload_comm
22.53768668,24.67135833,5.17820898,20.21893045,1.857084586,30.34867179,29.51787079,35.29084594,45.93632858,41.10905244,26.77695535,19.73022398,16.03373142,3.072611955,2.794985088,33.21124394,3.574835838,25.4751245,63.37587095,125.5559708,101.4325876,14.7651742,40.8641793,93.95641836,76.27876156,110.6140304,181.2893043,181.2893043,264.8893048,0.179885605,0.867453158,0.224383917
21.38350757,25.2682041,5.27179107,20.99358219,6.164980129,31.34376134,30.75315438,34.43301011,42.43635841,41.23798776,26.02517923,9.0462687,9.32701497,0.452313435,1.971462696,31.52676632,0.143492538,25.3711444,58.56679133,122.9564683,92.28233875,15.8049752,30.7781096,90.96179148,80.56482128,111.9865677,133.3024882,133.3024882,202.761195,0.168398475,0.816099931,0.084954604
24.39373146,23.94245783,4.6791045,21.23793543,1.857084586,30.44017427,30.72715935,32.72253747,40.30268676,41.43606985,25.83801505,0,6.83149257,0.06238806,1.603373142,27.42995038,0,25.7870648,65.45547295,119.0572145,89.16293575,16.0129354,28.6985076,87.71761236,68.19014958,103.6889557,126.5437817,126.5437817,129.975125,0.165538608,0.950034698,0.03307393
24.28975136,24.15041803,4.413955245,20.71283592,2.026572149,29.57402004,29.1154678,28.79208969,38.39361212,42.92038578,25.46056729,0,5.95805973,0,1.500432843,20.81681602,0,22.3557215,71.56430383,120.0970155,76.78930385,16.2208956,28.5945275,85.263682,63.33531871,72.09980134,115.6258712,115.6258712,111.258707,0.159771211,0.945408281,0.014915694
22.69885583,23.44855235,3.83686569,20.33330856,4.642711465,28.98757228,29.19449268,27.9654479,37.59504496,42.70046787,25.81929863,0,6.42597018,0,1.275835827,18.5084578,0,19.2363185,70.21256253,119.577115,77.3611944,16.5328359,24.1233832,80.064677,66.73234858,29.0104479,101.1726373,101.1726373,88.383085,0.165252622,0.874624104,0.02464332
22.71445284,21.91484588,3.602910465,23.2915424,1.941308467,29.65096532,28.12765685,26.13019913,37.17704495,42.46911214,25.42625385,0,5.95805973,0,1.821731352,19.00756228,0,19.1323384,66.70323415,84.223881,69.09477645,16.2208956,23.3955225,81.97791084,39.16098526,20.15134338,83.2880601,83.2880601,79.024876,0.159246902,0.875318066,0.014915694
17.69741302,19.48483094,3.64970151,17.65062198,4.22159206,28.99173148,26.52948271,25.1683832,34.74391061,40.78255492,25.37634341,0,6.30119406,0,1.219686573,17.96776128,0,19.1323384,75.74950285,36.65298525,70.23855755,16.2208956,24.3313434,50.20159228,6.857487595,19.56905482,88.22711485,88.22711485,76.4253735,0.158484271,0.652093454,0.022049287
13.44982594,16.80630356,3.58731345,14.70278614,1.857084586,28.58620909,23.11061703,13.95932842,27.18871655,38.989938,24.58401504,0,5.24059704,0,5.533820922,17.86378118,0,19.0283583,73.07201528,31.7139305,72.0582093,15.597015,24.955224,52.6139306,6.022527392,19.58985084,85.41965215,85.41965215,72.00621925,0.146377502,0.463104326,0
9.072263725,9.385243826,3.36895524,13.19507469,3.123562204,24.0152439,9.631676663,10.26283587,26.85805983,30.10691805,24.57465683,0,5.70850749,0,6.220089582,18.13412944,0,19.4442787,72.96803518,32.7537315,68.78283615,15.4930349,24.955224,43.2557216,6.236726398,19.73542298,85.62761235,85.62761235,76.4253735,0.146234509,0.268332177,0.009727626
9.10865676,7.501124414,3.40014927,13.34584583,3.798393053,20.36450259,6.525791076,9.9820896,27.38211953,22.93593046,23.37368668,0,6.36358212,0,5.827044804,17.94696526,0,22.6676618,70.55049785,31.7139305,73.5139307,15.597015,24.6432837,38.6805972,6.109870676,19.61064686,85.9915427,85.9915427,93.84204025,0.127883699,0.269951423,0.023346304
9.17104482,9.917621938,4.102014945,14.88475131,1.857084586,19.08866676,5.771935351,9.97169159,30.00865686,21.31852,23.38616429,0,6.05164182,0,5.097104502,18.05094536,0.143492538,21.2119404,73.48793567,31.7139305,71.8502491,15.597015,23.6034827,36.8089554,6.097393064,19.11154238,85.21169195,85.21169195,90.72263725,0.128074357,0.272727273,0.016861219
9.30621895,7.903527401,4.02402987,14.12569659,1.688636824,16.4298956,6.343825901,9.90930353,32.89098523,20.91715682,23.72929862,0,6.27000003,0,5.278029876,18.0925374,0.429437813,46.5830848,80.5845775,32.49378125,79.7527367,15.1810946,22.2517414,39.7203982,6.199293562,27.63791058,112.9223886,112.9223886,86.04353275,0.133317445,0.278741615,0.021400778
9.041069695,8.721850788,5.3029851,12.90393041,4.390039822,18.53133342,9.671189101,12.13967668,36.25994047,22.36507971,23.45479116,0.18716418,5.67731346,1.52850747,5.312343309,17.676617,0.143492538,54.069652,85.28967702,120.8768662,105.4358214,14.9731344,23.3955225,60.9323386,15.95990555,118.2669657,117.7054732,117.7054732,90.9825875,0.129122974,0.266944252,0.009079118
9.39980104,7.474089588,6.004850775,12.56079608,20.68580109,24.00796529,8.696895564,30.49736333,33.70203001,41.21563204,31.07237328,12.94552245,6.64432839,6.036044805,14.90762694,18.69562198,6.435328389,53.8616918,107.8273637,143.2325878,100.6007468,14.8691543,28.074627,129.5592046,43.875443,126.2942295,186.5402994,186.5402994,248.2524888,0.245519542,0.28290539,0.029182879
9.477786115,11.4388508,7.845298545,10.88151747,24.82316927,28.96469666,13.77840305,36.06549769,36.20379122,44.95995544,56.69514953,28.18380611,31.59955239,23.09917922,44.64177633,39.76199024,60.76285104,62.9079605,106.7615677,148.691543,124.0482593,14.7651742,69.7706471,166.9920406,54.37223409,137.5240803,240.6619414,240.6619414,349.6330863,0.637035272,0.286375202,0.547989624
12.6907712,21.90132846,10.54358214,11.72895528,25.49903992,27.9654479,16.1179553,36.58539819,38.6805972,44.70156489,71.90535855,40.66141811,42.1119405,42.08074647,49.074448,54.54796046,56.0463137,63.1159207,114.2221398,141.6728863,122.5405479,44.5034828,184.5646775,177.5980108,79.06854764,142.5567171,271.3703844,271.3703844,412.800997,0.869447092,0.429331483,0.766536965
21.91900508,20.00473144,9.38940303,20.04736328,24.82316927,26.85390063,22.16127871,36.73616933,35.44265689,46.0642241,69.08541824,38.52462705,40.98895542,41.23850766,45.46841813,53.98646792,47.61040819,59.3726371,107.8533587,146.8718913,120.5129359,130.1830852,201.0975134,179.0537322,128.7377618,143.3469659,261.0274838,261.0274838,427.6181613,0.826358437,0.839925977,0.743190661
20.66084587,19.57529363,8.48477616,19.4390797,22.79659712,26.74784092,23.47454738,37.58880615,41.2821793,42.36565194,77.10228395,35.5611942,41.45686587,42.18992558,49.90420919,53.67452762,42.74933851,54.9014928,114.7160453,146.8718913,129.1432842,141.8288564,180.0935332,186.3323392,100.5820303,155.928558,263.6737774,263.6737774,410.2014945,0.948856053,0.783946334,0.752918288
20.53606975,17.45617919,8.812313475,20.01616925,28.36993048,28.12245785,23.084622,41.30609473,50.17247785,39.12147282,72.79438841,36.73097033,36.84014943,40.08432855,46.64131366,56.71074654,48.61173655,56.0452739,109.7250005,144.2723888,129.975125,142.5567171,199.641792,177.5980108,137.9919907,150.5631848,276.3343944,276.3343944,418.5199025,0.883031459,0.778394633,0.65693904
20.62965184,18.97740805,8.54716422,19.19992547,30.48072651,28.76297526,25.09871654,39.39805989,51.46391069,40.49141064,53.63501518,29.58753745,32.59776135,38.07231362,30.33307477,53.7577117,30.59718423,61.6601993,103.2522393,142.7126873,119.7850752,117.1855727,164.288558,174.8945282,105.8174284,120.9704483,275.3632202,275.3632202,424.4987583,0.590276454,0.782558409,0.568741894
19.93818418,20.41961204,9.124253775,20.9051991,29.55114442,28.61740312,25.82761704,39.87116935,55.28205997,40.0333783,64.59035852,37.30805988,38.74298526,35.23365688,34.95291062,50.18079626,46.03822908,65.2995028,106.7875627,111.5186573,122.3325877,122.4885578,128.935324,165.1203988,116.6427966,126.1486573,261.230245,261.230245,422.4191563,0.757673975,0.751792737,0.696498054
21.84621901,20.36762199,8.60955228,20.41129363,32.84315439,28.01119914,24.46235833,44.9194032,50.84003009,38.18773153,70.36437347,36.23186584,42.92298528,37.60440317,40.49920915,67.1711446,47.61040819,70.706468,106.7095776,97.741294,128.935324,113.9621896,179.5736327,159.2975132,123.8319807,108.8255727,266.2836779,266.2836779,401.6231363,0.845900858,0.836687486,0.783398184
22.46490061,19.05539313,10.1848508,21.66425384,29.38165686,27.68262202,24.68279614,43.23492558,50.22862711,38.7824977,57.77134356,39.85037333,42.01835841,37.93194048,40.57407482,44.711443,38.60365193,68.0029854,99.0930353,100.3407965,135.12214,101.7965179,142.0368166,171.9830854,101.1383239,98.51074674,254.0504191,254.0504191,409.9415443,0.653479504,0.864214666,0.76459144
22.39211454,19.40684586,10.24723886,20.79602,16.37894535,29.60105487,25.59366181,40.86937831,46.08605992,39.81242059,29.30367178,27.88746282,31.91149269,38.55582108,14.18392544,46.74945296,5.004562213,43.4636818,99.04104525,97.2213935,125.3480106,85.3676621,54.7975127,178.4298516,79.37112973,90.85781138,222.9624488,222.9624488,398.243783,0.218493804,0.860976174,0.554474708
